type,rank,term,frequency
keyword,1,data,15931
keyword,2,python,9522
keyword,3,learning,8248
keyword,4,analytics,8172
keyword,5,ai,6974
keyword,6,cloud,5993
keyword,7,machine,5861
keyword,8,distributed,4283
keyword,9,understand,4160
keyword,10,big,4113
hashtag,1,#artificialintelligence,6297
hashtag,2,#ai,6257
hashtag,3,#machinelearning,6234
hashtag,4,#datascience,4342
hashtag,5,#programming,4268
hashtag,6,#python,4151
hashtag,7,#hadoop,3659
hashtag,8,#mapreduce,3615
hashtag,9,#bigdata,3602
hashtag,10,#technology,3406
